State,Abbreviation,Democratic,Republican
Alabama,AL,692611,941173
Alaska,AK,79004,167398
Arizona,AZ,685341,781652
Arkansas,AR,422768,472940
California,CA,5861203,4567429
Colorado,CO,738227,883748
Connecticut,CT,816015,561094
Delaware,DE,180068,137288
District of Columbia,DC,171923,18073
Florida,FL,2912253,2912790
Georgia,GA,1116230,1419720
Hawaii,HI,205286,137845
Idaho,ID,138637,336937
Illinois,IL,2589026,2019421
Indiana,IN,901980,1245836
Iowa,IA,638517,634373
Kansas,KS,399276,622332
Kentucky,KY,638898,872492
Louisiana,LA,792344,927871
Maine,ME,319951,286616
Maryland,MD,1145782,813797
Massachusetts,MA,1616487,878502
Michigan,MI,2170418,1953139
Minnesota,MN,1168266,1109659
Mississippi,MS,404614,572844
Missouri,MO,1111138,1189924
Montana,MT,137126,240178
Nebraska,NE,231780,433862
Nevada,NV,279978,301575
New Hampshire,NH,266348,273559
New Jersey,NJ,1788850,1284173
New Mexico,NM,286783,286417
New York,NY,4107697,2403374
North Carolina,NC,1257692,1631163
North Dakota,ND,95284,174852
Ohio,OH,2186190,2351209
Oklahoma,OK,474276,744337
Oregon,OR,720342,713577
Pennsylvania,PA,2485967,2281127
Rhode Island,RI,249508,130555
South Carolina,SC,565561,785937
South Dakota,SD,118804,190700
Tennessee,TN,981720,1061949
Texas,TX,2433746,3799639
Utah,UT,203053,515096
Vermont,VT,149022,119775
Virginia,VA,1217290,1437490
Washington,WA,1247652,1108864
West Virginia,WV,295497,336475
Wisconsin,WI,1242987,1237279
Wyoming,WY,60481,147947
