State,Abbreviation,Democratic,Republican
Alabama,AL,813479,1266546
Alaska,AK,123594,193841
Arizona,AZ,1034707,1230111
Arkansas,AR,422310,638017
California,CA,8274473,5011781
Colorado,CO,1288633,1073629
Connecticut,CT,997772,629428
Delaware,DE,255459,152374
District of Columbia,DC,245800,17367
Florida,FL,4282074,4045624
Georgia,GA,1844123,2048759
Hawaii,HI,325871,120566
Idaho,ID,236440,403012
Illinois,IL,3419348,2031179
Indiana,IN,1374039,1345648
Iowa,IA,828940,682379
Kansas,KS,514765,699655
Kentucky,KY,751985,1048462
Louisiana,LA,782989,1148275
Maine,ME,421923,295273
Maryland,MD,1629467,959862
Massachusetts,MA,1904097,1108854
Michigan,MI,2872579,2048639
Minnesota,MN,1573354,1275409
Mississippi,MS,554662,724597
Missouri,MO,1441911,1445814
Montana,MT,231667,242763
Nebraska,NE,333319,452979
Nevada,NV,533736,412827
New Hampshire,NH,384826,316534
New Jersey,NJ,2215422,1613207
New Mexico,NM,472422,346832
New York,NY,4804945,2752771
North Carolina,NC,2142651,2128474
North Dakota,ND,141278,168601
Ohio,OH,2940044,2677820
Oklahoma,OK,502496,960165
Oregon,OR,1037291,738475
Pennsylvania,PA,3276363,2655885
Rhode Island,RI,296571,165391
South Carolina,SC,862449,1034896
South Dakota,SD,170924,203054
Tennessee,TN,1087437,1479178
Texas,TX,3528633,4479328
Utah,UT,327670,596030
Vermont,VT,219262,98974
Virginia,VA,1959532,1725005
Washington,WA,1750848,1229216
West Virginia,WV,303857,397466
Wisconsin,WI,1677211,1262393
Wyoming,WY,82868,164958
